freq,unit,s_adj,na_item,geo\TIME_PERIOD	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 	2022-Q1 	2022-Q2 	2022-Q3 	2022-Q4 
Q,I15,NSA,RLPR_PER,IS	98.571 	99.880 	105.589 	102.448 	100.924 	103.442 	105.105 	104.638 	100.429 	105.632 	107.498 	108.304 	101.093 	98.234 	102.470 	109.469 	106.018 	103.156 	105.677 	108.073 	105.451 	101.766 	107.117 	104.570 
Q,I15,NSA,RLPR_PER,IT	98.804 	100.592 	99.766 	102.593 	99.194 	100.189 	99.621 	102.755 	99.159 	100.443 	100.058 	101.940 	93.095 	85.777 	96.663 	97.966 	95.795 	98.850 	99.916 	102.586 	99.805 	101.520 	101.132 	102.372 
Q,I15,NSA,RLPR_PER,LT	96.058 	102.400 	113.106 	109.819 	100.062 	106.586 	113.069 	112.282 	102.771 	110.281 	120.078 	116.517 	104.686 	107.679 	125.301 	119.436 	110.496 	116.734 	127.412 	123.473 	111.258 	111.002 	122.659 	118.771 
Q,I15,NSA,RLPR_PER,LU	97.698 	99.625 	99.320 	102.236 	96.544 	96.897 	96.601 	99.714 	94.144 	96.573 	95.635 	98.871 	92.697 	89.422 	95.397 	98.081 	94.731 	95.671 	94.450 	98.525 	94.040 	93.870 	94.011 	: 
Q,I15,NSA,RLPR_PER,LV	95.223 	106.972 	109.518 	112.829 	95.699 	109.960 	112.011 	117.522 	99.037 	113.109 	116.182 	118.454 	99.204 	108.227 	117.663 	122.643 	106.079 	117.859 	125.463 	128.188 	107.481 	119.343 	122.129 	125.283 
Q,I15,NSA,RLPR_PER,ME	76.359 	94.708 	128.633 	106.138 	78.420 	94.260 	130.256 	103.467 	77.662 	96.160 	131.533 	104.548 	81.160 	83.571 	114.948 	120.141 	: 	: 	: 	: 	: 	: 	: 	: 
Q,I15,NSA,RLPR_PER,MT	99.732 	101.494 	104.884 	100.200 	97.981 	102.070 	105.869 	100.955 	99.571 	103.827 	106.271 	102.310 	94.360 	85.210 	93.003 	93.590 	95.803 	97.006 	103.603 	101.333 	98.945 	100.255 	102.474 	99.192 
Q,I15,NSA,RLPR_PER,NL	100.221 	102.951 	98.756 	102.721 	99.928 	103.032 	98.125 	102.090 	99.023 	102.443 	98.511 	101.832 	97.823 	95.353 	95.627 	99.481 	96.897 	102.092 	98.143 	102.177 	98.640 	102.936 	97.953 	101.923 
Q,I15,NSA,RLPR_PER,NO	105.190 	100.048 	98.433 	105.282 	102.802 	101.006 	97.369 	104.535 	102.765 	98.585 	97.384 	105.212 	103.429 	96.457 	98.904 	106.069 	103.719 	102.241 	101.346 	108.196 	104.680 	101.265 	100.265 	107.011 
Q,I15,NSA,RLPR_PER,PL	98.924 	101.687 	103.781 	119.675 	104.571 	107.392 	109.377 	125.583 	109.975 	112.742 	114.466 	129.690 	111.754 	105.679 	113.597 	126.268 	109.722 	113.825 	118.294 	134.550 	119.046 	118.749 	124.610 	135.464 
Q,I15,NSA,RLPR_PER,PT	99.559 	100.416 	101.438 	101.019 	99.220 	101.521 	101.972 	101.801 	100.779 	103.437 	103.909 	104.006 	98.768 	87.862 	99.730 	98.247 	95.294 	98.252 	101.575 	102.982 	101.709 	103.829 	105.297 	105.754 
Q,I15,NSA,RLPR_PER,RO	88.492 	96.993 	123.883 	130.734 	91.813 	105.725 	131.341 	137.208 	96.085 	109.759 	136.032 	141.511 	98.035 	102.993 	132.292 	142.496 	98.188 	114.405 	138.182 	143.714 	103.129 	120.878 	143.552 	150.204 
Q,I15,NSA,RLPR_PER,RS	92.033 	95.748 	98.757 	102.176 	95.808 	99.673 	101.615 	103.521 	95.489 	100.639 	105.026 	106.920 	100.443 	94.771 	103.532 	106.380 	101.643 	104.155 	108.046 	110.844 	104.360 	106.787 	108.470 	109.783 
Q,I15,NSA,RLPR_PER,SE	99.188 	104.300 	91.641 	106.162 	99.480 	105.622 	91.077 	106.426 	100.861 	106.252 	93.295 	107.797 	102.032 	100.275 	94.131 	108.241 	103.057 	108.606 	96.334 	113.581 	104.979 	109.104 	96.391 	110.892 
