Month,Total number of employees,Number of employees that left,Run
4,432,3,11
5,429,6,11
6,423,4,11
7,421,8,11
8,416,4,11
9,418,2,11
10,418,5,11
11,418,2,11
12,419,2,11
13,418,2,11
14,418,3,11
15,421,3,11
16,420,1,11
17,433,1,11
18,446,2,11
19,445,2,11
20,443,6,11
21,437,8,11
22,429,2,11
23,433,3,11
24,430,9,11
25,427,2,11
26,430,2,11
27,445,3,11
28,445,2,11
29,443,5,11
30,438,6,11
31,434,5,11
32,444,4,11
33,445,6,11
34,442,2,11
35,440,1,11
36,439,9,11
37,430,8,11
38,422,8,11
39,414,8,11
40,406,11,11
41,395,5,11
42,411,13,11
43,402,4,11
44,398,11,11
45,387,11,11
46,385,12,11
47,402,6,11
48,417,10,11
49,407,12,11
50,395,7,11
51,391,15,11
52,390,7,11
53,399,3,11
54,412,11,11
55,420,5,11
56,422,3,11
57,421,6,11
58,420,2,11
59,419,5,11
60,417,2,11
61,418,2,11
62,423,5,11
63,422,6,11
64,420,5,11
65,415,0,11
66,419,4,11
67,421,2,11
68,421,1,11
69,422,0,11
70,440,2,11
71,440,0,11
72,440,3,11
73,437,6,11
74,431,0,11
75,431,5,11
76,426,7,11
77,421,6,11
78,415,10,11
79,410,7,11
80,403,9,11
81,394,10,11
82,384,14,11
83,376,9,11
84,390,13,11
85,383,10,11
86,373,7,11
87,392,3,11
88,409,7,11
89,424,6,11
90,422,2,11
91,420,6,11
92,414,2,11
93,412,4,11
94,408,2,11
95,406,4,11
96,418,7,11
97,416,8,11
98,414,3,11
99,413,3,11
100,431,3,11
101,432,3,11
102,434,1,11
103,434,1,11
104,442,0,11
105,445,2,11
106,445,0,11
107,446,2,11
108,446,1,11
109,447,0,11
110,448,1,11
111,449,2,11
112,447,1,11
113,446,4,11
114,442,2,11
115,440,2,11
116,440,3,11
117,437,1,11
118,468,4,11
119,464,2,11
120,462,1,11
0,464,2,12
1,462,2,12
2,464,3,12
3,461,3,12
4,458,6,12
5,463,2,12
6,461,2,12
7,459,3,12
8,456,2,12
9,454,6,12
10,449,4,12
11,445,3,12
12,477,3,12
13,474,0,12
14,474,1,12
15,475,3,12
16,475,2,12
17,473,2,12
18,484,2,12
19,482,1,12
20,481,2,12
21,479,5,12
22,477,2,12
23,475,3,12
24,477,6,12
25,476,3,12
26,476,2,12
27,480,2,12
28,479,5,12
29,481,0,12
30,496,0,12
31,496,0,12
32,496,2,12
33,494,4,12
34,490,8,12
35,482,4,12
36,479,3,12
37,477,5,12
38,472,5,12
39,467,6,12
40,461,3,12
41,463,3,12
42,460,2,12
43,460,2,12
44,469,0,12
45,469,0,12
46,469,1,12
47,468,3,12
48,465,3,12
49,462,8,12
50,454,7,12
51,452,7,12
52,445,3,12
53,442,5,12
54,447,6,12
55,456,1,12
56,455,1,12
57,487,2,12
58,492,2,12
59,491,4,12
60,504,1,12
61,503,3,12
62,501,3,12
63,500,1,12
64,499,0,12
65,499,2,12
66,497,6,12
67,491,5,12
68,498,3,12
69,495,6,12
70,489,4,12
71,485,4,12
72,481,4,12
73,481,1,12
74,480,1,12
